code,name,level,units,hours,student_count,course_type,lecturer_staff_id,department_code,shared_department_codes,group_id
CSC101,Introduction to Computer Science,100,3,3,180,departmental,STF001,CSC,,,
CSC102,Fundamentals of Programming,100,3,3,180,departmental,STF002,CSC,,,
CSC103,Discrete Mathematics,100,2,2,180,departmental,STF003,CSC,,,
CSC104,Computer Hardware Fundamentals,100,2,2,180,departmental,STF004,CSC,,,
CSC105,Introduction to Information Systems,100,2,2,180,departmental,STF005,CSC,,,
CSC201,Data Structures and Algorithms,200,3,3,160,departmental,STF001,CSC,,,
CSC202,Object Oriented Programming,200,3,3,160,departmental,STF002,CSC,,,
CSC203,Database Management Systems,200,3,3,160,departmental,STF003,CSC,,,
CSC204,Operating Systems,200,2,2,160,departmental,STF004,CSC,,,
CSC205,Computer Networks,200,2,2,160,departmental,STF005,CSC,,,
CSC301,Software Engineering Principles,300,3,3,140,departmental,STF001,CSC,,,
CSC302,Artificial Intelligence,300,3,3,140,departmental,STF002,CSC,,,
CSC303,Web Technologies,300,2,2,140,departmental,STF003,CSC,,,
CSC304,Computer Graphics,300,2,2,140,departmental,STF004,CSC,,,
CSC305,Theory of Computation,300,2,2,140,departmental,STF005,CSC,,,
CSC401,Machine Learning,400,3,3,120,departmental,STF001,CSC,,,
CSC402,Distributed Systems,400,3,3,120,departmental,STF002,CSC,,,
CSC403,Cybersecurity Fundamentals,400,2,2,120,departmental,STF003,CSC,,,
CSC404,Cloud Computing,400,2,2,120,departmental,STF004,CSC,,,
CSC405,Final Year Project I,400,3,3,120,departmental,STF005,CSC,,,
CSC501,Advanced Machine Learning,500,3,3,80,departmental,STF001,CSC,,,
CSC502,Research Methods in Computing,500,2,2,80,departmental,STF002,CSC,,,
CSC503,Compiler Construction,500,3,3,80,departmental,STF003,CSC,,,
CSC504,Advanced Database Systems,500,2,2,80,departmental,STF004,CSC,,,
CSC505,Final Year Project II,500,6,6,80,departmental,STF005,CSC,,,

CYS101,Introduction to Cybersecurity,100,3,3,150,departmental,STF006,CYS,,,
CYS102,Network Fundamentals,100,2,2,150,departmental,STF007,CYS,,,
CYS103,Introduction to Cryptography,100,2,2,150,departmental,STF008,CYS,,,
CYS104,Ethics in Computing,100,2,2,150,departmental,STF009,CYS,,,
CYS105,Linux for Security,100,2,2,150,departmental,STF010,CYS,,,
CYS201,Network Security,200,3,3,130,departmental,STF006,CYS,,,
CYS202,Ethical Hacking,200,3,3,130,departmental,STF007,CYS,,,
CYS203,Digital Forensics,200,3,3,130,departmental,STF008,CYS,,,
CYS204,Malware Analysis,200,2,2,130,departmental,STF009,CYS,,,
CYS205,Security Protocols,200,2,2,130,departmental,STF010,CYS,,,
CYS301,Penetration Testing,300,3,3,110,departmental,STF006,CYS,,,
CYS302,Incident Response,300,3,3,110,departmental,STF007,CYS,,,
CYS303,Cloud Security,300,2,2,110,departmental,STF008,CYS,,,
CYS304,Identity and Access Management,300,2,2,110,departmental,STF009,CYS,,,
CYS305,Security Governance,300,2,2,110,departmental,STF010,CYS,,,
CYS401,Advanced Penetration Testing,400,3,3,90,departmental,STF006,CYS,,,
CYS402,Threat Intelligence,400,3,3,90,departmental,STF007,CYS,,,
CYS403,Secure Software Development,400,2,2,90,departmental,STF008,CYS,,,
CYS404,IoT Security,400,2,2,90,departmental,STF009,CYS,,,
CYS405,Final Year Project I,400,3,3,90,departmental,STF010,CYS,,,
CYS501,Zero Trust Architecture,500,3,3,60,departmental,STF006,CYS,,,
CYS502,Advanced Cryptography,500,3,3,60,departmental,STF007,CYS,,,
CYS503,Security Research Methods,500,2,2,60,departmental,STF008,CYS,,,
CYS504,Blockchain Security,500,2,2,60,departmental,STF009,CYS,,,
CYS505,Final Year Project II,500,6,6,60,departmental,STF010,CYS,,,

IFT101,Introduction to IT,100,3,3,170,departmental,STF001,IFT,,,
IFT102,IT Infrastructure,100,2,2,170,departmental,STF002,IFT,,,
IFT103,Fundamentals of Networking,100,2,2,170,departmental,STF003,IFT,,,
IFT104,IT Support and Help Desk,100,2,2,170,departmental,STF004,IFT,,,
IFT105,Introduction to Programming,100,3,3,170,departmental,STF005,IFT,,,
IFT201,Systems Analysis and Design,200,3,3,150,departmental,STF001,IFT,,,
IFT202,Web Development,200,3,3,150,departmental,STF002,IFT,,,
IFT203,IT Project Management,200,2,2,150,departmental,STF003,IFT,,,
IFT204,Enterprise Systems,200,2,2,150,departmental,STF004,IFT,,,
IFT205,Mobile Computing,200,2,2,150,departmental,STF005,IFT,,,
IFT301,Advanced Web Development,300,3,3,130,departmental,STF001,IFT,,,
IFT302,IT Service Management,300,2,2,130,departmental,STF002,IFT,,,
IFT303,Data Analytics,300,3,3,130,departmental,STF003,IFT,,,
IFT304,ERP Systems,300,2,2,130,departmental,STF004,IFT,,,
IFT305,IT Governance,300,2,2,130,departmental,STF005,IFT,,,
IFT401,Big Data Technologies,400,3,3,110,departmental,STF001,IFT,,,
IFT402,DevOps Practices,400,3,3,110,departmental,STF002,IFT,,,
IFT403,IT Risk Management,400,2,2,110,departmental,STF003,IFT,,,
IFT404,Digital Transformation,400,2,2,110,departmental,STF004,IFT,,,
IFT405,Final Year Project I,400,3,3,110,departmental,STF005,IFT,,,
IFT501,Advanced Data Analytics,500,3,3,70,departmental,STF001,IFT,,,
IFT502,IT Strategy,500,2,2,70,departmental,STF002,IFT,,,
IFT503,Emerging Technologies,500,3,3,70,departmental,STF003,IFT,,,
IFT504,IT Audit and Compliance,500,2,2,70,departmental,STF004,IFT,,,
IFT505,Final Year Project II,500,6,6,70,departmental,STF005,IFT,,,

SWE101,Introduction to Software Engineering,100,3,3,160,departmental,STF006,SWE,,,
SWE102,Programming Fundamentals,100,3,3,160,departmental,STF007,SWE,,,
SWE103,Software Requirements Engineering,100,2,2,160,departmental,STF008,SWE,,,
SWE104,Introduction to UX Design,100,2,2,160,departmental,STF009,SWE,,,
SWE105,Version Control Systems,100,2,2,160,departmental,STF010,SWE,,,
SWE201,Software Design Patterns,200,3,3,140,departmental,STF006,SWE,,,
SWE202,Agile Development,200,3,3,140,departmental,STF007,SWE,,,
SWE203,Software Testing,200,3,3,140,departmental,STF008,SWE,,,
SWE204,Mobile App Development,200,2,2,140,departmental,STF009,SWE,,,
SWE205,API Design and Development,200,2,2,140,departmental,STF010,SWE,,,
SWE301,Advanced Software Architecture,300,3,3,120,departmental,STF006,SWE,,,
SWE302,DevSecOps,300,3,3,120,departmental,STF007,SWE,,,
SWE303,Microservices Architecture,300,2,2,120,departmental,STF008,SWE,,,
SWE304,Software Quality Assurance,300,2,2,120,departmental,STF009,SWE,,,
SWE305,Full Stack Development,300,3,3,120,departmental,STF010,SWE,,,
SWE401,Cloud-Native Development,400,3,3,100,departmental,STF006,SWE,,,
SWE402,AI-Assisted Development,400,3,3,100,departmental,STF007,SWE,,,
SWE403,Software Maintenance,400,2,2,100,departmental,STF008,SWE,,,
SWE404,Product Management,400,2,2,100,departmental,STF009,SWE,,,
SWE405,Final Year Project I,400,3,3,100,departmental,STF010,SWE,,,
SWE501,Distributed Software Systems,500,3,3,65,departmental,STF006,SWE,,,
SWE502,Software Entrepreneurship,500,2,2,65,departmental,STF007,SWE,,,
SWE503,Open Source Development,500,3,3,65,departmental,STF008,SWE,,,
SWE504,Advanced Testing Strategies,500,2,2,65,departmental,STF009,SWE,,,
SWE505,Final Year Project II,500,6,6,65,departmental,STF010,SWE,,,